KUNNAT SAIRAANHOITOPIIREITTÄIN VUONNA 2020 - kunnat aakkosjärj.;;;;;;
;;;;;;
"kunta-
koodi";kunta;shp:n koodi;sairaanhoitopiiri;erva-alue;kuntien lkm;
;;;;;;
20;Akaa;6;Pirkanmaa;TAYS;1;
5;Alajärvi;15;Etelä-Pohjanmaa;TAYS;2;
9;Alavieska;18;Pohjois-Pohjanmaa;OYS;3;
10;Alavus;15;Etelä-Pohjanmaa;TAYS;4;
16;Asikkala;7;Päijät-Häme;HYKS;5;
18;Askola;25;HUS;HYKS;6;
19;Aura;3;Varsinais-Suomi;TYKS;7;
46;Enonkoski;11;Itä-Savo;KYS;8;
47;Enontekiö;21;Lappi;OYS;9;
49;Espoo;25;HUS;HYKS;10;
50;Eura;4;Satakunta;TYKS;11;
51;Eurajoki;4;Satakunta;TYKS;12;
52;Evijärvi;15;Etelä-Pohjanmaa;TAYS;13;
61;Forssa;5;Kanta-Häme;TAYS;14;
69;Haapajärvi;18;Pohjois-Pohjanmaa;OYS;15;
71;Haapavesi;18;Pohjois-Pohjanmaa;OYS;16;
72;Hailuoto;18;Pohjois-Pohjanmaa;OYS;17;
74;Halsua;17;Keski-Pohjanmaa;OYS;18;
75;Hamina;8;Kymenlaakso;HYKS;19;
77;Hankasalmi;14;Keski-Suomi;KYS;20;
78;Hanko;25;HUS;HYKS;21;
79;Harjavalta;4;Satakunta;TYKS;22;
81;Hartola;7;Päijät-Häme;HYKS;23;
82;Hattula;5;Kanta-Häme;TAYS;24;
86;Hausjärvi;5;Kanta-Häme;TAYS;25;
111;Heinola;7;Päijät-Häme;HYKS;26;
90;Heinävesi;12;Pohjois-Karjala;KYS;27;
91;Helsinki;25;HUS;HYKS;28;
97;Hirvensalmi;10;Etelä-Savo;KYS;29;
98;Hollola;7;Päijät-Häme;HYKS;30;
99;Honkajoki;4;Satakunta;TYKS;31;
102;Huittinen;4;Satakunta;TYKS;32;
103;Humppila;5;Kanta-Häme;TAYS;33;
105;Hyrynsalmi;19;Kainuu;OYS;34;
106;Hyvinkää;25;HUS;HYKS;35;
108;Hämeenkyrö;6;Pirkanmaa;TAYS;36;
109;Hämeenlinna;5;Kanta-Häme;TAYS;37;
139;Ii;18;Pohjois-Pohjanmaa;OYS;38;
140;Iisalmi;13;Pohjois-Savo;KYS;39;
142;Iitti;7;Päijät-Häme;HYKS;40;
143;Ikaalinen;6;Pirkanmaa;TAYS;41;
145;Ilmajoki;15;Etelä-Pohjanmaa;TAYS;42;
146;Ilomantsi;12;Pohjois-Karjala;KYS;43;
153;Imatra;9;Etelä-Karjala;HYKS;44;
148;Inari;21;Lappi;OYS;45;
149;Inkoo;25;HUS;HYKS;46;
151;Isojoki;15;Etelä-Pohjanmaa;TAYS;47;
152;Isokyrö;15;Etelä-Pohjanmaa;TAYS;48;
165;Janakkala;5;Kanta-Häme;TAYS;49;
167;Joensuu;12;Pohjois-Karjala;KYS;50;
169;Jokioinen;5;Kanta-Häme;TAYS;51;
171;Joroinen;10;Etelä-Savo;KYS;52;
172;Joutsa;14;Keski-Suomi;KYS;53;
176;Juuka;12;Pohjois-Karjala;KYS;54;
177;Juupajoki;6;Pirkanmaa;TAYS;55;
178;Juva;10;Etelä-Savo;KYS;56;
179;Jyväskylä;14;Keski-Suomi;KYS;57;
181;Jämijärvi;4;Satakunta;TYKS;58;
182;Jämsä;6;Pirkanmaa;TAYS;59;
186;Järvenpää;25;HUS;HYKS;60;
202;Kaarina;3;Varsinais-Suomi;TYKS;61;
204;Kaavi;13;Pohjois-Savo;KYS;62;
205;Kajaani;19;Kainuu;OYS;63;
208;Kalajoki;18;Pohjois-Pohjanmaa;OYS;64;
211;Kangasala;6;Pirkanmaa;TAYS;65;
213;Kangasniemi;10;Etelä-Savo;KYS;66;
214;Kankaanpää;4;Satakunta;TYKS;67;
216;Kannonkoski;14;Keski-Suomi;KYS;68;
217;Kannus;17;Keski-Pohjanmaa;OYS;69;
218;Karijoki;15;Etelä-Pohjanmaa;TAYS;70;
224;Karkkila;25;HUS;HYKS;71;
226;Karstula;14;Keski-Suomi;KYS;72;
230;Karvia;4;Satakunta;TYKS;73;
231;Kaskinen;16;Vaasa;TYKS;74;
232;Kauhajoki;15;Etelä-Pohjanmaa;TAYS;75;
233;Kauhava;15;Etelä-Pohjanmaa;TAYS;76;
235;Kauniainen;25;HUS;HYKS;77;
236;Kaustinen;17;Keski-Pohjanmaa;OYS;78;
239;Keitele;13;Pohjois-Savo;KYS;79;
240;Kemi;20;Länsi-Pohja;OYS;80;
320;Kemijärvi;21;Lappi;OYS;81;
241;Keminmaa;20;Länsi-Pohja;OYS;82;
322;Kemiönsaari;3;Varsinais-Suomi;TYKS;83;
244;Kempele;18;Pohjois-Pohjanmaa;OYS;84;
245;Kerava;25;HUS;HYKS;85;
249;Keuruu;14;Keski-Suomi;KYS;86;
250;Kihniö;6;Pirkanmaa;TAYS;87;
256;Kinnula;14;Keski-Suomi;KYS;88;
